"Similarity, %%","File name","File size","Modified"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\10250181_690725294352844_4859517793311758442_n.jpg","84091","30-08-2014 10:34:42 PM"
"100%","E:\My Pictures\Test_Folder1\10250181_690725294352844_4859517793311758442_n - Copy (2).jpg","84091","30-08-2014 10:34:42 PM"
"100%","E:\My Pictures\Test_Folder1\10250181_690725294352844_4859517793311758442_n - Copy.jpg","84091","30-08-2014 10:34:42 PM"
"100%","E:\My Pictures\Test_Folder1\10250181_690725294352844_4859517793311758442_n.jpg","84091","30-08-2014 10:34:42 PM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\10250181_690725294352844_4859517793311758442_n.jpg","84091","30-08-2014 10:34:42 PM"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\10353102_578415108930558_7180986476316867445_n.jpg","66672","27-08-2014 08:55:36 PM"
"100%","E:\My Pictures\Test_Folder1\10353102_578415108930558_7180986476316867445_n - Copy.jpg","66672","27-08-2014 08:55:36 PM"
"100%","E:\My Pictures\Test_Folder1\10353102_578415108930558_7180986476316867445_n.jpg","66672","27-08-2014 08:55:36 PM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\10353102_578415108930558_7180986476316867445_n.jpg","66672","27-08-2014 08:55:36 PM"
"94%","E:\My Pictures\Test_Folder1\10353102_578415108930558_7180986476316867445_n - Copy (2).jpg","91458","12-03-2024 11:19:56 AM"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\10357231_579091062196296_8518570518680210900_n.jpg","59488","27-08-2014 08:58:00 PM"
"100%","E:\My Pictures\Test_Folder1\10357231_579091062196296_8518570518680210900_n - Copy (2).jpg","59488","27-08-2014 08:58:00 PM"
"100%","E:\My Pictures\Test_Folder1\10357231_579091062196296_8518570518680210900_n - Copy.jpg","59488","27-08-2014 08:58:00 PM"
"100%","E:\My Pictures\Test_Folder1\10357231_579091062196296_8518570518680210900_n.jpg","59488","27-08-2014 08:58:00 PM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\10357231_579091062196296_8518570518680210900_n.jpg","59488","27-08-2014 08:58:00 PM"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\10370349_577039695734766_5964480604820900229_n.jpg","49709","27-08-2014 07:59:20 PM"
"100%","E:\My Pictures\Test_Folder1\10370349_577039695734766_5964480604820900229_n - Copy (2).jpg","49709","27-08-2014 07:59:20 PM"
"100%","E:\My Pictures\Test_Folder1\10370349_577039695734766_5964480604820900229_n - Copy.jpg","49709","27-08-2014 07:59:20 PM"
"100%","E:\My Pictures\Test_Folder1\10370349_577039695734766_5964480604820900229_n.jpg","49709","27-08-2014 07:59:20 PM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\10370349_577039695734766_5964480604820900229_n.jpg","49709","27-08-2014 07:59:20 PM"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\10442551_578401158931953_5230031724782032934_n.jpg","45376","27-08-2014 08:56:14 PM"
"100%","E:\My Pictures\Test_Folder1\10442551_578401158931953_5230031724782032934_n - Copy (2).jpg","45376","27-08-2014 08:56:14 PM"
"100%","E:\My Pictures\Test_Folder1\10442551_578401158931953_5230031724782032934_n - Copy.jpg","45376","27-08-2014 08:56:14 PM"
"100%","E:\My Pictures\Test_Folder1\10442551_578401158931953_5230031724782032934_n.jpg","45376","27-08-2014 08:56:14 PM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\10442551_578401158931953_5230031724782032934_n.jpg","45376","27-08-2014 08:56:14 PM"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\10483737_577789672326435_4568170269179134594_n.jpg","81199","27-08-2014 07:57:54 PM"
"100%","E:\My Pictures\Test_Folder1\10483737_577789672326435_4568170269179134594_n - Copy (2).jpg","81199","27-08-2014 07:57:54 PM"
"100%","E:\My Pictures\Test_Folder1\10483737_577789672326435_4568170269179134594_n - Copy.jpg","81199","27-08-2014 07:57:54 PM"
"100%","E:\My Pictures\Test_Folder1\10483737_577789672326435_4568170269179134594_n.jpg","81199","27-08-2014 07:57:54 PM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\10483737_577789672326435_4568170269179134594_n.jpg","81199","27-08-2014 07:57:54 PM"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\10530570_578409138931155_8511460345652554655_o.jpg","69389","27-08-2014 08:56:04 PM"
"100%","E:\My Pictures\Test_Folder1\10530570_578409138931155_8511460345652554655_o - Copy (2).jpg","69389","27-08-2014 08:56:04 PM"
"100%","E:\My Pictures\Test_Folder1\10530570_578409138931155_8511460345652554655_o - Copy.jpg","69389","27-08-2014 08:56:04 PM"
"100%","E:\My Pictures\Test_Folder1\10530570_578409138931155_8511460345652554655_o.jpg","69389","27-08-2014 08:56:04 PM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\10530570_578409138931155_8511460345652554655_o.jpg","69389","27-08-2014 08:56:04 PM"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\10603352_577556639016405_1201452794928078820_n.jpg","57658","27-08-2014 07:58:48 PM"
"100%","E:\My Pictures\Test_Folder1\10603352_577556639016405_1201452794928078820_n - Copy (2).jpg","57658","27-08-2014 07:58:48 PM"
"100%","E:\My Pictures\Test_Folder1\10603352_577556639016405_1201452794928078820_n - Copy.jpg","57658","27-08-2014 07:58:48 PM"
"100%","E:\My Pictures\Test_Folder1\10603352_577556639016405_1201452794928078820_n.jpg","57658","27-08-2014 07:58:48 PM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\10603352_577556639016405_1201452794928078820_n.jpg","57658","27-08-2014 07:58:48 PM"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\10606482_576901639081905_7076615070637522261_n.jpg","88126","12-03-2024 11:08:11 AM"
"100%","E:\My Pictures\Test_Folder1\10606482_576901639081905_7076615070637522261_n.jpg","88126","12-03-2024 11:08:11 AM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\10606482_576901639081905_7076615070637522261_n.jpg","88126","12-03-2024 11:08:11 AM"
"96%","E:\My Pictures\Test_Folder1\10606482_576901639081905_7076615070637522261_n - Copy (2).jpg","70773","27-08-2014 08:00:06 PM"
"96%","E:\My Pictures\Test_Folder1\10606482_576901639081905_7076615070637522261_n - Copy.jpg","70773","27-08-2014 08:00:06 PM"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\10626672_577956255643110_4324888925780339734_n.jpg","87793","27-08-2014 08:01:42 PM"
"100%","E:\My Pictures\Test_Folder1\10626672_577956255643110_4324888925780339734_n - Copy (2).jpg","87793","27-08-2014 08:01:42 PM"
"100%","E:\My Pictures\Test_Folder1\10626672_577956255643110_4324888925780339734_n - Copy.jpg","87793","27-08-2014 08:01:42 PM"
"100%","E:\My Pictures\Test_Folder1\10626672_577956255643110_4324888925780339734_n.jpg","87793","27-08-2014 08:01:42 PM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\10626672_577956255643110_4324888925780339734_n.jpg","87793","27-08-2014 08:01:42 PM"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\10636006_578124935626242_7935215292059396575_n.jpg","111230","12-03-2024 10:58:22 AM"
"100%","E:\My Pictures\Test_Folder1\10636006_578124935626242_7935215292059396575_n - Copy (2).jpg","111574","12-03-2024 10:58:06 AM"
"100%","E:\My Pictures\Test_Folder1\10636006_578124935626242_7935215292059396575_n - Copy.jpg","111230","12-03-2024 10:58:14 AM"
"100%","E:\My Pictures\Test_Folder1\10636006_578124935626242_7935215292059396575_n.jpg","111230","12-03-2024 10:58:22 AM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\10636006_578124935626242_7935215292059396575_n.jpg","111230","12-03-2024 10:58:22 AM"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\14210_577794105659325_5713183806910578392_n.jpg","73118","27-08-2014 08:02:14 PM"
"100%","E:\My Pictures\Test_Folder1\14210_577794105659325_5713183806910578392_n - Copy (2).jpg","73118","27-08-2014 08:02:14 PM"
"100%","E:\My Pictures\Test_Folder1\14210_577794105659325_5713183806910578392_n - Copy.jpg","73118","27-08-2014 08:02:14 PM"
"100%","E:\My Pictures\Test_Folder1\14210_577794105659325_5713183806910578392_n.jpg","73118","27-08-2014 08:02:14 PM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\14210_577794105659325_5713183806910578392_n.jpg","73118","27-08-2014 08:02:14 PM"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\1524572_576242402481162_8749425672711372429_n.jpg","81722","27-08-2014 08:00:32 PM"
"100%","E:\My Pictures\Test_Folder1\1524572_576242402481162_8749425672711372429_n - Copy (2).jpg","81722","27-08-2014 08:00:32 PM"
"100%","E:\My Pictures\Test_Folder1\1524572_576242402481162_8749425672711372429_n - Copy.jpg","81722","27-08-2014 08:00:32 PM"
"100%","E:\My Pictures\Test_Folder1\1524572_576242402481162_8749425672711372429_n.jpg","81722","27-08-2014 08:00:32 PM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\1524572_576242402481162_8749425672711372429_n.jpg","81722","27-08-2014 08:00:32 PM"

"Original","E:\My Pictures\Test_Folder1\Xmas 2023\994474_578126065626129_2207335923143744499_n.jpg","59670","27-08-2014 08:56:28 PM"
"100%","E:\My Pictures\Test_Folder1\994474_578126065626129_2207335923143744499_n - Copy.jpg","59670","27-08-2014 08:56:28 PM"
"100%","E:\My Pictures\Test_Folder1\994474_578126065626129_2207335923143744499_n.jpg","59670","27-08-2014 08:56:28 PM"
"100%","E:\My Pictures\Test_Folder1\New Delhi Trip\994474_578126065626129_2207335923143744499_n.jpg","59670","27-08-2014 08:56:28 PM"
"94%","E:\My Pictures\Test_Folder1\994474_578126065626129_2207335923143744499_n - Copy (2).jpg","81043","12-03-2024 11:19:44 AM"
